authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,1412,3232,,moving to opportunity - traditional voucher (geographically unrestricted),"any mood disorder, lifetime",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.003,0.016,0.178,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,417,1954,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any mood disorder, lifetime",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.048,0.022,0.218,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,721,1650,,moving to opportunity - traditional voucher (geographically unrestricted),"any mood disorder, lifetime",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.032,0.024,0.218,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,400,1873,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any mood disorder, lifetime",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.022,0.02,0.14,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,691,1582,,moving to opportunity - traditional voucher (geographically unrestricted),"any mood disorder, lifetime",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.038,0.022,0.14,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,817,3827,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any mood disorder, past year",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.003,0.012,0.104,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,1412,3232,,moving to opportunity - traditional voucher (geographically unrestricted),"any mood disorder, past year",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.006,0.014,0.104,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,417,1954,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any mood disorder, past year",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.025,0.018,0.141,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,721,1650,,moving to opportunity - traditional voucher (geographically unrestricted),"any mood disorder, past year",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.02,0.02,0.141,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,400,1873,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any mood disorder, past year",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.03,0.016,0.07,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,691,1582,,moving to opportunity - traditional voucher (geographically unrestricted),"any mood disorder, past year",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.03,0.017,0.07,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,817,3827,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"generalized anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.002,0.005,0.019,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,1412,3232,,moving to opportunity - traditional voucher (geographically unrestricted),"generalized anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.01,0.006,0.019,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,417,1954,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"generalized anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.002,0.007,0.022,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,721,1650,,moving to opportunity - traditional voucher (geographically unrestricted),"generalized anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.01,0.008,0.022,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,400,1873,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"generalized anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.002,0.006,0.016,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,691,1582,,moving to opportunity - traditional voucher (geographically unrestricted),"generalized anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.01,0.009,0.016,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,817,3827,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"generalized anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.005,0.003,0.007,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,1412,3232,,moving to opportunity - traditional voucher (geographically unrestricted),"generalized anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.008,0.005,0.007,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,417,1954,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"generalized anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.009,0.005,0.007,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,721,1650,,moving to opportunity - traditional voucher (geographically unrestricted),"generalized anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.01,0.006,0.007,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,400,1873,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"generalized anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.001,0.005,0.007,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,691,1582,,moving to opportunity - traditional voucher (geographically unrestricted),"generalized anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.006,0.008,0.007,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,817,3827,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.001,0.013,0.121,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,1412,3232,,moving to opportunity - traditional voucher (geographically unrestricted),"any anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.005,0.014,0.121,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,417,1954,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.011,0.019,0.149,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,721,1650,,moving to opportunity - traditional voucher (geographically unrestricted),"any anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.014,0.02,0.149,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,400,1873,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.013,0.017,0.095,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,691,1582,,moving to opportunity - traditional voucher (geographically unrestricted),"any anxiety disorder, lifetime",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.023,0.019,0.095,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,817,3827,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.007,0.012,0.083,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,1412,3232,,moving to opportunity - traditional voucher (geographically unrestricted),"any anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.003,0.012,0.083,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,417,1954,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.002,0.016,0.098,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,721,1650,,moving to opportunity - traditional voucher (geographically unrestricted),"any anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.006,0.016,0.098,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,400,1873,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"any anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.011,0.016,0.069,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,691,1582,,moving to opportunity - traditional voucher (geographically unrestricted),"any anxiety disorder, past year",Anxiety,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.011,0.017,0.069,,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,817,3827,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"absence of mental health problems (depression, anxiety, and distress)",Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,1,N,,1,,0.031,0.027,0,1,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (all),50%,10 to 20,15,4644,1412,3232,,moving to opportunity - traditional voucher (geographically unrestricted),"absence of mental health problems (depression, anxiety, and distress)",Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,1,N,,1,,-0.016,0.03,0,1,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,417,1954,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"absence of mental health problems (depression, anxiety, and distress)",Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,1,N,,1,,0.069,0.036,0,1,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (female),100%,10 to 20,15,2371,721,1650,,moving to opportunity - traditional voucher (geographically unrestricted),"absence of mental health problems (depression, anxiety, and distress)",Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,1,N,,1,,0.016,0.042,0,1,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,400,1873,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"absence of mental health problems (depression, anxiety, and distress)",Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,1,N,,1,,-0.006,0.038,0,1,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,youth (male),0%,10 to 20,15,2273,691,1582,,moving to opportunity - traditional voucher (geographically unrestricted),"absence of mental health problems (depression, anxiety, and distress)",Depression,0,,0,85827,,1827,,,,700,120,120,10-15 years,1,N,,1,,-0.048,0.042,0,1,,,,,,,,,,,,,,,,Y,ITT,,,,,,
Ssewamala et al.,2009,2005,RCT,Asset ownership and health and mental health functioning among AIDS-orphaned adolescents: findings from a randomized clinical trial in rural Uganda.,Y,mentorship included in the program component,Ssewamala_09,,Y,,Graduation Program,Conditional,Uganda,1,AIDS-oprhaned adolescents,56.72%,11 to 17,14,268,131,137,,child development account. USD 190 ten months (USD$228 a year),self-esteem (Tennessee Self-Concept Scale ) - t score,Self-Esteem,0,,0,190,per_month,190,,,,19,10,10,10 months,0,N,,1,,0.348,0.157,,,,,51.16,9.66,,,,,48.9,10.22,,,,,,,"three major components:
1) workshops focused on asset-building and future planning;
2) a monthly mentorship program for adolescents with peer
mentors on life options; and 3) a Child Development Account (CDA),","standarized with t-score (mean 50, sd of 10). using formula t = 50+10z, converted treatment effect.",table 1,Table 2,standardized,table 1,"page 194, paragraph 1"
Stein et al.,2020,2020,RCT,"Cash transfers and COVID-19: Experiences from Kiryandongo, Uganda",Y,,stein_20,,Y,,Cash Transfer,Unconditional,Uganda,1,refugee households,74%,,,1264,,,,,psychological wellbeing,Happiness or Satisfaction,0,,1,1000,,,,,,,,7,7 months aprox,0,N,,1,-2.516,0.22,0.087,,,,,,,,,,,,,,,,,,,,,"page 2, paragraph 2","page 6, paragraph 2",standardized,Appendix 1,"page 9, paragraph 2"
Tankard et al.,2019,2013,RCT,The effect of a savings intervention on women's intimate partner violence victimization: heterogeneous findings from a randomized controlled trial in Colombia.,Y,,tankard_19,,Y,,Savings,,Colombia,1,vulnerable women without formal or informal savings,100%,18 to 55,33.69,1510,1127,383,,Savings with deposit of USD 5 + health check ups + match of deposits (1/3 of treatment deposited on average 95 USD),depression,Depression,1,,0,36.66666667,,,,,,,,18,18 months,0,Y,,0,,-0.1,0.041,1.474,0.671,,,,,,,,,,,,,,,,,"woman of age 18–55 who has a male partner (not necessarily cohabiting), who had not used a formal or informal savings service or any service of the partnering bank within the past 12mon",,Figure 1,Table 2,tankard_19_data,Table 1,"Page 4, paragraph 2"
Tankard et al.,2019,2013,RCT,The effect of a savings intervention on women's intimate partner violence victimization: heterogeneous findings from a randomized controlled trial in Colombia.,Y,,tankard_19,,Y,,Savings,,Colombia,1,vulnerable women without formal or informal savings,100%,18 to 55,33.69,1510,1127,383,,Savings with deposit of USD 5 + health check ups + match of deposits (1/3 of treatment deposited on average 95 USD),anxiety,Anxiety,1,,0,36.66666667,,,,,,,,18,18 months,0,N,,0,,-0.04,0.046,1.164,0.792,,,,,,,,,,,,,,,,,"woman of age 18–55 who has a male partner (not necessarily cohabiting), who had not used a formal or informal savings service or any service of the partnering bank within the past 12mon",,Figure 1,Table 2,tankard_19_data,Table 1,"Page 4, paragraph 2"
Tankard et al.,2019,2013,RCT,The effect of a savings intervention on women's intimate partner violence victimization: heterogeneous findings from a randomized controlled trial in Colombia.,Y,,tankard_19,,Y,,Savings,,Colombia,1,vulnerable women without formal or informal savings,100%,18 to 55,33.69,1510,1127,383,,Savings with deposit of USD 5 + health check ups + match of deposits (1/3 of treatment deposited on average 95 USD),stress,Stress,1,,0,36.66666667,,,,,,,,18,18 months,0,N,,0,,-0.1,0.071,1.569,0.598,,,,,,,,,,,,,,,,,"woman of age 18–55 who has a male partner (not necessarily cohabiting), who had not used a formal or informal savings service or any service of the partnering bank within the past 12mon",,Figure 1,Table 2,tankard_19_data,Table 1,"Page 4, paragraph 2"
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,769,388,381,,50-92 vouchers for essential household items,mental health index,Depression,0,0,1,13.73,,,,,,,,1.5,6 weeks,0,N,,1,,0.32,0.071,,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,643,322,321,,50-92 vouchers for essential household items,mental health index,Depression,0,0,1,13.73,,,,,,,,12,1 year,0,N,,1,,0.19,0.077,,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,769,388,381,,50-92 vouchers for essential household items,Anxiety/depression,Depression,1,0,1,13.73,,,,,,,,1.5,6 weeks,0,N,,0,,-0.05,0.041,1.38,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,643,322,321,,50-92 vouchers for essential household items,Anxiety/depression,Depression,1,0,1,13.73,,,,,,,,12,1 year,0,N,,0,,-0.07,0.041,1.48,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,769,388,381,,50-92 vouchers for essential household items,Wellbeing,Happiness or Satisfaction,0,0,1,13.73,,,,,,,,1.5,6 weeks,0,N,,0,,0.2,0.051,1.09,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,643,322,321,,50-92 vouchers for essential household items,Wellbeing,Happiness or Satisfaction,0,0,1,13.73,,,,,,,,12,1 year,0,N,,0,,0.06,0.061,1.1,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,769,388,381,,50-92 vouchers for essential household items,Life satisfaction,Happiness or Satisfaction,0,0,1,13.73,,,,,,,,1.5,6 weeks,0,N,,0,,0.59,0.122,3.29,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Quattrochi,2020,2017,RCT,Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,Y,,Quattrochi_2020,,Y,,Asset Transfer,Unconditional,Congo,1,vulnerable households,88%,,35,643,322,321,,50-92 vouchers for essential household items,Life satisfaction,Happiness or Satisfaction,0,0,1,13.73,,,,,,,,12,1 year,0,N,,0,,0.17,0.112,3.09,,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,"Page 3, paragraph 1",Table 1,Table A4 (weighted average)
Macours,2012,2005,RCT,"Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",Y,,Macours_2012,,Y,,Cash Transfer,Conditional,Nicaragua,1,mothers of vulnerable households,100%,,41.56258,1355,668,687,,"US $ 145 if they had no children or only children younger than 7. In addition, households with children between 7 and 15 enrolled in primary school received US $ 90 per household, and a further US $ 25 per child.",CES DEpression scale,Depression,1,0,1,252.25,,,,,,,,9,,0,Y,,0,,-0.48,0.696,11.44,10.27,,,,,,,,,,,,,,,,,,"Conditional on paper, but not enforced",Do file,Table 8,Do file,Do file,Page 252 and 253
